ply,piece_type,average_value
35,R,482.58
35,b,457.66
35,n,438.25
35,p,152.48
35,q,677.6
35,r,475.33
36,B,459.6
36,N,425.36
36,P,129.8
36,Q,692.24
36,R,482.52
36,b,461.59
36,n,420.33
36,p,128.25
36,q,679.03
36,r,502.17
37,B,453.83
37,N,395.87
37,P,124.78
37,Q,733.43
37,R,493.21
37,b,437.84
37,n,436.83
37,p,123.1
37,q,618.38
37,r,466.26
38,B,458.0
38,N,404.58
38,P,134.9
38,Q,686.31
38,R,497.71
38,b,415.76
38,n,424.57
38,p,113.65
38,q,659.44
38,r,462.24
39,B,454.95
39,N,439.81
39,P,134.01
39,Q,748.61
39,R,519.33
39,b,412.63
39,n,410.33
39,p,127.09
39,q,596.2
39,r,441.18
40,B,425.05
40,N,439.3
40,P,140.88
40,Q,696.92
40,R,496.88
40,b,424.48
40,n,407.07
40,p,120.34
40,q,654.21
40,r,479.3
41,B,413.9
41,N,453.34
41,P,111.42
41,Q,700.63
41,R,492.49
41,b,418.39
41,n,435.11
41,p,135.44
41,q,626.11
41,r,475.08
42,B,396.07
42,N,403.03
42,P,142.37
42,Q,671.61
42,R,491.21
42,b,423.11
42,n,415.81
42,p,115.77
42,q,669.17
42,r,481.61
43,B,407.66
43,N,385.65
43,P,122.46
43,Q,673.47
43,R,508.58
43,b,427.04
43,n,410.81
43,p,130.36
43,q,621.92
43,r,477.61
44,B,371.89
44,N,392.13
44,P,116.75
44,Q,644.64
44,R,477.83
44,b,429.02
44,n,386.37
44,p,128.39
44,q,695.19
44,r,502.1
45,B,404.12
45,N,432.85
45,P,129.03
45,Q,706.48
45,R,506.98
45,b,361.95
45,n,376.56
45,p,130.33
45,q,652.2
45,r,478.03
46,B,385.81
46,N,404.89
46,P,125.08
46,Q,627.42
46,R,485.61
46,b,427.67
46,n,391.16
46,p,129.46
46,q,687.57
46,r,513.21
47,B,413.14
47,N,494.45
47,P,126.37
47,Q,697.61
47,R,525.64
47,b,401.24
47,n,372.79
47,p,129.1
47,q,626.96
47,r,473.94
48,B,453.54
48,N,473.24
48,P,143.07
48,Q,675.88
48,R,531.03
48,b,398.54
48,n,341.23
48,p,126.03
48,q,625.75
48,r,488.89
49,B,389.85
49,N,435.4
49,P,111.66
49,Q,693.88
49,R,514.71
49,b,432.24
49,n,394.91
49,p,142.77
49,q,656.15
49,r,480.57
50,B,393.04
50,N,480.9
50,P,138.0
50,Q,678.24
50,R,515.98
50,b,400.92
50,n,391.1
50,p,137.78
50,q,673.64
50,r,519.83
51,B,376.05
51,N,464.35
51,P,126.6
51,Q,750.37
51,R,523.32
51,b,395.11
51,n,348.36
51,p,132.32
51,q,641.74
51,r,505.21
52,B,364.52
52,N,419.96
52,P,134.55
52,Q,675.56
52,R,522.68
52,b,421.39
52,n,375.93
52,p,126.66
52,q,673.2
52,r,543.0
53,B,441.0
53,N,519.62
53,P,141.45
53,Q,755.9
53,R,566.09
53,b,398.76
53,n,387.21
53,p,129.73
53,q,589.33
53,r,494.44
54,B,437.02
54,N,485.44
54,P,138.77
54,Q,704.5
54,R,528.9
54,b,398.34
54,n,353.03
54,p,124.49
54,q,662.33
54,r,502.71
55,B,381.46
55,N,466.22
55,P,133.46
55,Q,712.43
55,R,537.22
55,b,418.79
55,n,385.42
55,p,139.86
55,q,649.54
55,r,509.64
56,B,383.83
56,N,451.5
56,P,138.11
56,Q,738.1
56,R,535.42
56,b,397.19
56,n,368.23
56,p,124.99
56,q,660.38
56,r,516.93
57,B,376.97
57,N,450.04
57,P,127.34
57,Q,720.43
57,R,546.39
57,b,400.45
57,n,342.97
57,p,137.33
57,q,579.96
57,r,502.12
58,B,390.17
58,N,512.26
58,P,141.19
58,Q,750.59
58,R,538.16
58,b,408.44
58,n,325.26
58,p,125.95
58,q,653.82
58,r,510.61
59,B,416.03
59,N,470.6
59,P,129.26
59,Q,757.78
59,R,568.97
59,b,410.38
59,n,333.97
59,p,129.89
59,q,601.43
59,r,501.51
60,B,441.45
60,N,490.22
60,P,156.73
60,Q,795.09
60,R,568.71
60,b,400.85
60,n,272.26
60,p,100.62
60,q,637.55
60,r,451.25
61,B,354.48
61,N,451.96
61,P,130.95
61,Q,779.04
61,R,571.92
61,b,399.08
61,n,309.27
61,p,112.88
61,q,576.76
61,r,489.21
62,B,383.71
62,N,450.35
62,P,140.0
62,Q,751.42
62,R,494.58
62,b,414.16
62,n,363.78
62,p,109.49
62,q,692.0
62,r,560.85
63,B,378.17
63,N,469.95
63,P,124.1
63,Q,788.67
63,R,534.93
63,b,417.57
63,n,363.1
63,p,123.56
63,q,741.63
63,r,544.0
64,B,424.88
64,N,473.15
64,P,126.62
64,Q,693.81
64,R,501.06
64,b,454.67
64,n,350.41
64,p,110.9
64,q,719.08
64,r,489.09
65,B,336.16
65,N,518.94
65,P,139.89
65,Q,833.93
65,R,577.64
65,b,401.3
65,n,330.0
65,p,114.8
65,q,590.5
65,r,499.87
66,B,385.64
66,N,535.71
66,P,136.03
66,Q,789.88
66,R,489.91
66,b,438.06
66,n,288.15
66,p,99.31
66,q,559.2
66,r,508.64
67,B,289.7
67,N,480.81
67,P,136.74
67,Q,867.59
67,R,547.16
67,b,480.67
67,n,287.25
67,p,117.78
67,q,544.12
67,r,466.32
68,B,309.57
68,N,582.53
68,P,163.9
68,Q,810.86
68,R,512.25
68,b,439.56
68,n,274.64
68,p,95.04
68,q,519.31
68,r,484.38
69,B,336.32
69,N,485.33
69,P,138.95
69,Q,883.69
69,R,523.25
69,b,451.39
69,n,282.62
69,p,122.64
69,q,514.0
69,r,482.68
70,B,335.82
70,N,599.53
70,P,151.35
70,Q,748.83
70,R,536.19
70,b,483.6
70,n,337.92
70,p,127.13
70,q,625.17
70,r,548.11
71,B,413.13
71,N,482.25
71,P,152.97
71,Q,899.58
71,R,586.55
71,b,385.85
71,n,311.64
71,p,116.95
71,q,526.21
71,r,484.07
72,B,400.57
72,N,553.86
72,P,161.69
72,Q,722.67
72,R,574.9
72,b,404.0
72,n,402.38
72,p,111.01
72,q,670.44
72,r,571.34
73,B,502.91
73,N,516.46
73,P,152.91
73,Q,835.0
73,R,600.17
73,b,421.08
73,n,235.08
73,p,131.85
73,q,480.08
73,r,470.37
74,B,394.54
74,N,569.31
74,P,160.0
74,Q,796.29
74,R,600.25
74,b,422.45
74,n,348.3
74,p,125.83
74,q,681.25
74,r,528.81
75,B,438.92
75,N,583.0
75,P,144.38
75,Q,802.82
75,R,561.07
75,b,357.55
75,n,293.22
75,p,144.08
75,q,504.3
75,r,539.15
76,B,331.09
76,N,634.27
76,P,149.95
76,Q,713.9
76,R,591.08
76,b,441.44
76,n,249.0
76,p,165.35
76,q,504.0
76,r,553.65
77,B,438.0
77,N,613.33
77,P,140.87
77,Q,954.11
77,R,654.47
77,b,379.33
77,n,197.71
77,p,144.64
77,q,493.14
77,r,486.38
78,B,436.33
78,N,534.11
78,P,139.82
78,Q,897.56
78,R,596.17
78,b,441.89
78,n,204.57
78,p,190.04
78,q,462.4
78,r,560.82
79,B,356.44
79,N,426.6
79,P,123.13
79,Q,881.9
79,R,534.21
79,b,453.0
79,n,393.38
79,p,166.41
79,q,324.71
79,r,539.0
80,B,387.88
80,N,538.8
80,P,158.49
80,Q,713.0
80,R,568.81
80,b,371.29
80,n,270.6
80,p,167.82
80,q,673.4
80,r,588.41
